part,resource,sequence,tool_number,tool_description
D12693-36,340,2,1,#5 CENTERDRILL OP2
D12693-36,340,3,10,"13/32"" HSS DRILL OP2"
D12693-36,340,4,1,#5 CENTERDRILL OP1
D12693-36,340,5,4,"#30 .1285"" HSS DRILL OP1"
D12693-36,340,6,10,"13/32"" HSS DRILL OP1"
D12693-36,340,7,48,"27/64"" DRILL OP1"
D12693-36,340,8,58,1/2-13 TAP OP1
D12693-36,340,9,45,"1/4"" STAB END MILL OP1"
D12693-36,340,10,118,"1/4"" REAMER OP1"
D12703,340,1,19,"3.0"" FACEMILL"
D12703,340,2,102,"1.0"" NC SPOT DRILL"
D12703,340,3,2,5/16 DRILL
D12703,340,4,44,"3/8"" CARBIDE END MILL-FINISHER"
D12703,340,5,56,3/8-16 TAP
D12704,340,1,19,"3.0"" FACEMILL"
D12704,340,2,102,"1.0"" NC SPOT DRILL"
D12704,340,3,2,5/16 DRILL
D12704,340,4,44,"3/8"" CARBIDE END MILL-FINISHER"
D12704,340,5,56,3/8-16 TAP
D12707,340,1,19,"3.0"" FACEMILL"
D12707,340,2,102,"1.0"" NC SPOT DRILL"
D12707,340,3,2,5/16 DRILL
D12707,340,4,44,"3/8"" CARBIDE END MILL-FINISHER"
D12707,340,5,56,3/8-16 TAP
D1279,415,1,90,RENISHAW PROBE
D1279,415,2,52,1.25 TURBO MILL
D1279,415,3,46,1.750 CARB.DRILL USE 1.719 CARB. DRILL
D1279,415,4,88,5.7 MM .224 CARBIDE DRILL
D1279,415,5,38,1/4-20 FORM TAP
D1279,415,6,87,11.7 MM .460 CARBIDE DRILL
D1279,415,7,7,1/2-13 FORM TAP
D1279,415,8,5,25/32 .781 CARB DRILL
D1279,415,9,39,11/32 .343 CARBIDE DRILL
D1279,415,10,12,3/8-16 FORM TAP
D1279,415,11,83,13/32 .406 CARBIDE DRILL
D1279,415,12,3,45 DEG.CHAMFER C.C..470
D1279,415,13,48,1.750-1.751 BORE
D1279,415,14,45,3/4 CARBIDE *HELIX* END MILL
D1279,415,15,58,5.9042-5.9047 BORE
D1279,415,16,84,1/2 CARBIDE DRILL
D1279,415,17,59,1/2 S.F. REAMER
D1279,415,18,90,RENISHAW PROBE
D1279,415,19,39,11/32 .343 CARBIDE DRILL
D1279,415,20,12,3/8-16 FORM TAP
D1279,415,21,43,3/8 C-BORE
D12798,415,1,80,"1.0"" HELIX END MILL OP2"
D12798,415,2,68,"4.0"" 90' FACEMILL OP2"
D12798,415,3,18,"4.0"" HIGH SHEAR FACE MILL B0"
D12798,415,4,1,#5 CENTER DRILL B0
D12798,415,5,39,"11/32"" HSS DRILL B0"
D12798,415,6,85,"3/8"" STAB END MILL B0"
D12798,415,7,22,"3/8"" S.F. REAMER B0"
D12798,415,8,83,"13/32"" CARBIDE DRILL B0"
D12798,415,9,87,"27/64"" CARBIDE DRILL B90"
D12798,415,10,7,1/2-13 TAP B270
D12798,415,11,16,"3/4"" .750 SPADE DRILL B180"
D12798,415,12,37,"1/2"" HELIX END MILL B180"
D12799,415,1,80,"1.0"" HELIY END MILL"
D12799,415,2,68,"4.0"" 90' FACEMILL OP2"
D12799,415,3,18,"4.0"" HIGH SHEAR FACE MILL B0"
D12799,415,4,1,#5 CENTER DRILL B0
D12799,415,5,39,"11/32"" HSS DRILL B0"
D12799,415,6,85,"3/8"" STAB END MILL B0"
D12799,415,7,22,"3/8"" S.F. REAMER B0"
D12799,415,8,83,"13/32"" CARBIDE DRILL B0"
D12799,415,9,87,"27/64"" CARBIDE DRILL B90"
D12799,415,10,7,1/2-13 TAP B270
D12799,415,11,16,"3/4"" .750 SPADE DRILL B180"
D12799,415,12,37,"1/2"" HELIX END MILL B180"
D12801,340,1,19,"3.0"" FACEMILL B0"
D12801,340,2,102,"1.0"" NC SPOT DRILL B0"
D12801,340,3,48,"27/64"" DRILL B0"
D12801,340,4,58,1/2-13 TAP B0
D12801,340,5,32,31.0 MM SPADE DRILL B90
D12801,340,6,71,"1.251"" BOR BAR B270"
D12801,340,7,65,"1.002"" REAMER B90"
D12806,340,1,19,"3.0"" FACEMILL OP2"
D12806,340,2,28,"1.0"" TURBO MILL OP2"
D12806,340,3,12,"5/16"" CARBIDE END MILL OP2"
D12806,340,4,102,"1.0"" NC SPOT DRILL OP3 1/4-20"
D12806,340,5,1,#5 CENTER DRILL
D12806,340,6,3,#7 HSS DRILL OP3 1/4-20
D12806,340,7,4,"9/32"" HSS DRILL OP3 5/16"" DWL"
D12806,340,8,67,"11/32"" DRILL OP3 3/8 DWL"
D12806,340,9,10,"13/32"" HSS DRILL OP3 SLOTS"
D12806,340,10,2,5/16 DRILL OP3 3/8-16
D12806,340,11,55,1/4-20 TAP OP3
D12806,340,12,12,"5/16"" STAB END MILL OP3"
D12806,340,13,9,"3/8"" STAB END MILL OP3 3/8 DWL"
D12806,340,14,56,3/8-16 TAP OP3
D12806,340,15,97,"5/16"" P.F. REAMER OP3"
D12806,340,16,60,"3/8"" P.F. REAMER OP3"
D12806,340,17,28,"1.0"" TURBO MILL OP3"
D12806,340,18,44,"3/8"" CARBIDE FINISHER OP3"
D12806,340,19,37,"2.0"" SPADE DRILL OP3"
D12806,340,20,29,"1.25"" TURBO MILL OP4"
D12806,340,21,19,"3.0"" FACEMILL OP4"
D12806,340,22,102,"1.0"" NC SPOT DRILL OP4 1/2-13"
D12806,340,23,48,27/64 DRILL OP4 1/2-13
D12806,340,24,10,"13/32"" HSS DRILL OP4"
D12806,340,25,58,1/2-13 TAP OP4
D12806,340,26,19,"3.0"" FACEMILL OP1"
D12806,340,27,102,"1.0"" NC SPOT DRILL OP1 9/16"""
D12806,340,28,4,"9/16"" HSS DRILL OP1"
D12806,340,29,64,"15/32"" DRILL OP1 .500"" DOWEL"
D12806,340,30,42,".490 STAB END MILL .500"" DOWEL"
D12806,340,31,50,"1/2"" P.F. REAMER OP1"
D12807,340,1,19,"3.0"" FACEMILL OP2"
D12807,340,2,24,"4.0"" FACE MILL"
D12807,340,3,102,"1.0"" NC SPOT DRILL OP2"
D12807,340,4,3,#7 HSS DRILL OP2
D12807,340,5,55,1/4-20 TAP OP2
D12807,340,6,5,LTR. F DRILL OP2
D12807,340,7,57,5/16-18 TAP OP2
D12807,340,8,4,"9/32"" HSS DRILL OP2"
D12807,340,9,12,"5/16"" STABBER OP2"
D12807,340,10,97,"5/16"" P.F. REAMER OP2"
D12807,340,11,1,#5 CENTER DRILL OP3
D12807,340,12,3,#7 HSS DRILL OP3
D12807,340,13,55,1/4-20 TAP OP3
D12807,340,14,19,"3.0"" FACEMILL OP1"
D12807,340,15,102,"1.0"" NC SPOT DRILL OP1 B0"
D12807,340,16,5,LTR. F DRILL OP1 B0
D12807,340,17,2,5/16 DRILL OP1 B0
D12807,340,18,48,27/64 DRILL OP1 B0
D12807,340,19,3,#7 HSS DRILL OP1 B0
D12807,340,20,64,"15/32"" DRILL OP1 B0"
D12807,340,21,42,.490 STAB END MILL OP1 B0
D12807,340,22,50,"1/2"" P.F. REAMER OP1 B0"
D12807,340,23,4,"9/32"" HSS DRILL OP1 B0"
D12807,340,24,12,"5/16"" STABBER OP1 B0"
D12807,340,25,97,"5/16"" P.F. REAMER OP1 B0"
D12807,340,26,57,5/16-18 TAP OP1 B0
D12807,340,27,56,3/8-16 TAP OP1 B0
D12807,340,28,58,1/2-13 TAP OP1 B0
D12807,340,29,55,1/4-20 TAP OP1 B0
D12809,340,1,19,"3.0"" SHELL MILL"
D12809,340,2,102,"1.0"" NC SPOT DRILL"
D12809,340,3,10,"13/32"" HSS DRILL"
D1281-30,415,1,44,17/32 CARBIDE DRILL
D1281-30,415,2,76,C-BORE FOR 1/2 CAPSCREW
D1281-30,415,3,87,27/64 CARBIDE DRILL
D1281-30,415,4,7,1/2-13 HIGH SPEED TAP
D12811,340,1,19,"3.0"" FACEMILL OP2 B0"
D12811,340,2,31,"1-3/4"" SPADE DRILL OP1 B0"
D12811,340,3,37,"2.0"" SPADE DRILL OP2 B0"
D12811,340,4,102,"1.0"" NC SPOT DRILL OP2 5/16-18"
D12811,340,5,4,"9/32"" HSS DRILL OP2 .312 DOWEL"
D12811,340,6,12,"5/16"" STABBER OP2 .312 DOWEL"
D12811,340,7,97,"5/16"" S.F. REAMER OP2"
D12811,340,8,67,"11/32"" DRILL OP2"
D12811,340,9,9,"3/8"" STAB END MILL OP2"
D12811,340,10,60,"3/8"" P.F REAMER OP2"
D12811,340,11,5,LTR. F DRILL OP2 B0 5/16-18
D12811,340,12,4,"15/64"" HSS DRILL OP2 B0 1/4"" P.F."
D12811,340,13,3,#7 HSS DRILL OP2 B0 1/4-20
D12811,340,14,10,"13/32"" HSS DRILL OP2 B0 13/32"""
D12811,340,15,2,5/16 DRILL OP2 B0 3/8-16
D12811,340,16,57,5/16-18 TAP OP2 B0 5/16-18
D12811,340,17,45,"1/4"" STAB END MILL OP2 1/4"" P.F."
D12811,340,18,118,"1/4"" P.F. REAMER OP2 1/4"" P.F."
D12811,340,19,55,1/4-20 TAP OP2 B0 1/4-20
D12811,340,20,56,3/8-16 TAP OP2 B0 3/8-16
D12811,340,21,29,"1.25"" TURBO MILL OP2 B0"
D12811,340,22,29,"1.25"" TURBO MILL OP3"
D12811,340,23,19,"3.0"" FACEMILL OP3"
D12811,340,24,1,#5 CENTER DRILL OP3
D12811,340,25,48,27/64 DRILL OP3
D12811,340,26,44,"3/8"" CARBIDE FINISHER"
D12811,340,27,12,"5/16"" CARBIDE END MILL OP3"
D12811,340,28,67,"11/32"" DRILL OP3"
D12811,340,29,66,"5/16"" COUNTERBORE OP3"
D12811,340,30,29,"1.25"" LONG TURBO MILL OP4"
D12811,340,31,19,"3.0"" FACEMILL OP4"
D12811,340,32,95,"1/2"" CARBIDE FINISHER OP4 B0"
D12811,340,33,102,"1.0"" NC SPOT DRILL OP4"
D12811,340,34,10,"13/32"" HSS DRILL OP4"
D12811,340,35,19,"3.0"" FACEMILL OP1 B0"
D12811,340,36,102,"1.0"" NC SPOT DRILL OP1 B0"
D12811,340,37,5,LTR. F DRILL OP1 B0
D12811,340,38,57,5/16-18 TAP OP1 B0
D12811,340,39,4,"9/32"" HSS DRILL OP1 B0"
D12811,340,40,12,"5/16"" STABBER OP1 B0"
D12811,340,41,97,"5/16"" P.F. REAMER OP1 B0"
D12812-24,415,1,49,".433"" CARBIDE DRILL"
D12812-24,415,2,70,"3/8"" .375 HELIX END MILL"
D12812-24,415,3,52,1.25 TURBO MILL
D12812-24,415,4,49,.433 CARBIDE DRILL
D12812-24,415,5,83,13/32 .406 CARBIDE DRILL
D12812-24,415,6,57,1/4 CARABIDE DRILL
D12812-24,415,7,35,"1.0"" 90 DEGREE SPOT DRILL"
D12812-24,415,8,66,".251"" REAMER"
D12812-24,415,9,34,12.00-1.00 TAP RH
D12812-42,350,1,10,.433 CARBIDE DRILL
D12812-42,350,2,1,"1.0"" DIA. 90 DEGREE SPOT DRILL"
D12812-42,350,3,24,"3/8"" CARBIDE END MILL"
D12812-42,350,4,10,.433 CARBIDE DRILL
D12812-42,350,5,12,13/32  CARBIDE DRILL
D12812-42,350,6,8,.25 CARBIDE DRILL
D12812-42,350,7,5,TAP - M12 X 1.0
D12812-42,350,8,30,"1/4"" REAMER"
D12814,340,1,19,"3.0"" FACEMILL OP2 B0"
D12814,340,2,31,"1-3/4"" SPADE DRILL OP1 B0"
D12814,340,3,37,"2.0"" SPADE DRILL OP2 B0"
D12814,340,4,102,"1.0"" NC SPOT DRILL OP2 5/16-18"
D12814,340,5,4,"9/32"" HSS DRILL OP2 .312 DOWEL"
D12814,340,6,12,"5/16"" STABBER OP2 .312 DOWEL"
D12814,340,7,26,"5/16"" S.F. REAMER OP2"
D12814,340,8,67,"11/32"" DRILL OP2"
D12814,340,9,9,"3/8"" STAB END MILL OP2"
D12814,340,10,60,"3/8"" P.F REAMER OP2"
D12814,340,11,5,LTR. F DRILL OP2 B0 5/16-18
D12814,340,12,4,"15/64"" HSS DRILL OP2 B0 1/4"" P.F."
D12814,340,13,3,#7 HSS DRILL OP2 B0 1/4-20
D12814,340,14,10,"13/32"" HSS DRILL OP2 B0 13/32"""
D12814,340,15,2,5/16 DRILL OP2 B0 3/8-16
D12814,340,16,57,5/16-18 TAP OP2 B0 5/16-18
D12814,340,17,45,"1/4"" STAB END MILL OP2 1/4"" P.F."
D12814,340,18,118,"1/4"" P.F. REAMER OP2 1/4"" P.F."
D12814,340,19,55,1/4-20 TAP OP2 B0 1/4-20
D12814,340,20,56,3/8-16 TAP OP2 B0 3/8-16
D12814,340,21,29,"1.25"" TURBO MILL OP2 B0"
D12814,340,22,29,"1.25"" TURBO MILL OP3 B0"
D12814,340,23,19,3.0 FACEMILL OP3 B0
D12814,340,24,1,#5 CENTER DRILL OP3 B0
D12814,340,25,48,27/64 DRILL OP3
D12814,340,26,44,"3/8"" CARBIDE FINISHER OP3"
D12814,340,27,12,"5/16"" CARBIDE END MILL OP3"
D12814,340,28,67,"11/32"" DRILL OP3 B0"
D12814,340,29,66,"5/16"" COUNTERBORE OP3 B0"
D12814,340,30,25,"1.25"" LONG TURBO MILL OP4 B0"
D12814,340,31,19,"3.0"" FACEMILL OP4 B0"
D12814,340,32,95,"1/2"" CARBIDE FINISHER OP4 B0"
D12814,340,33,102,"1.0"" NC SPOT DRILL OP4 B0"
D12814,340,34,10,"13/32"" HSS DRILL OP4 B0"
D12814,340,35,19,"3.0"" FACEMILL OP1 B0"
D12814,340,36,102,"1.0"" NC SPOT DRILL OP1 B0"
D12814,340,37,5,LTR. F DRILL OP1 B0
D12814,340,38,57,5/16-18 TAP OP1 B0
D12814,340,39,4,"9/32"" HSS DRILL OP1 B0"
D12814,340,40,12,"5/16"" STABBER OP1 B0"
D12814,340,41,26,"5/16"" P.F. REAMER OP1 B0"
D12815,340,1,102,"1.0"" NC SPOT DRILL OP2"
D12815,340,2,3,#7 HSS DRILL OP2
D12815,340,3,55,1/4-20 TAP OP2
D12815,340,4,19,"3.0"" FACEMILL ITEMS #4"
D12815,340,5,102,"1.0"" NC SPOT DRILL ITEMS #4"
D12815,340,6,5,LTR. F DRILL B270
D12815,340,7,2,5/16 DRILL ITEM #2
D12815,340,8,48,27/64 DRILL ITEM #11
D12815,340,9,67,"11/32""  DRILL ITEM #9"
D12815,340,10,4,"9/32"" HSS DRILL ITEM #4"
D12815,340,11,10,13/32 DRILL H10 ITEM 1
D12815,340,12,4,#3 CENTERDRILL H4 ITEM 1
D12815,340,13,3,#7 DRILL H3 ITEM 1
D12815,340,14,12,"5/16"" STABBER ITEM #4"
D12815,340,15,97,"5/16"" P.F. REAMER ITEM #4"
D12815,340,16,9,"3/8"" STAB END MILL ITEM #9"
D12815,340,17,60,"3/8"" S.F. REAMER ITEM #9"
D12815,340,18,57,5/16-18 TAP ITEM #4
D12815,340,19,4,#3 CENTERDRILL DRILL ITEM 7
D12815,340,20,3,#7 DRILL ITEM 7
D12815,340,21,55,1/4-20 TAP ITEM #7
D12815,340,22,56,3/8-16 TAP ITEM #2
D12815,340,23,58,1/2-13 TAP ITEM #11
D12823,415,1,18,"4.0"" 90' FACEMILL OP2 B0"
D12823,415,2,68,"4.0"" 90' FACEMILL OP2 B270"
D12823,415,3,44,"17/32"" CARBIDE DRILL OP2 B270"
D12823,415,4,1,#5 CENTER DRILL OP2 B270
D12823,415,5,10,#7 HSS DRILL OP2 B270
D12823,415,6,38,"1/4-20"" TAP OP2 B270"
D12823,415,7,61,"5/16"" CARBIDE DRILL OP2 B0"
D12823,415,8,12,3/8-16 TAP OP2 B0
D12823,415,9,18,"4.0"" HIGH SHEAR FACE MILL OP1"
D12823,415,10,52,1.25 TURBO MILL OP1
D12823,415,11,61,"5/16"" CARBIDE DRILL OP1"
D12823,415,12,12,3/8-16 TAP OP1
D12823,415,13,1,#5 CENTER DRILL OP1
D12823,415,14,20,"15/64"" HSS DRILL"
D12823,415,15,75,"1/4"" STAB END MILL OP1"
D12823,415,16,66,"1/4"" P.F REAMER OP1"
D12845,350,1,34,"5/8"" CARBIDE END MILL OP2"
D12845,350,2,35,"1.25"" TURBO MILL OP2"
D12845,350,3,34,"5/8"" CARBIDE END MILL OP2"
D12845,350,4,1,#5 CENTER DRILL OP2
D12845,350,5,20,"11/32"" HSS DRILL OP2"
D12845,350,6,19,#7 .201 HSS DRILL OP2
D12845,350,7,2,1/4-20 TAP OP2
D12845,350,8,14,"17/32"" DRILL OP2"
D12845,350,9,33,"1/2"" CARBIDE END MILL OP2"
D12845,350,10,34,"5/8"" CARBIDE END MILL OP1 LINER"
D12845,350,11,35,"1.25"" TURBO MILL OP1"
D12845,350,12,1,#5 CENTER DRILL OP1
D12845,350,13,8,"""F"" .257"" HSS DRILL OP1"
D12845,350,14,5,"5/16-18"" TAP OP1"
D12848,415,1,90,PROBE
D12848,415,2,68,"4.0"" 90' FACEMILL B90"
D12848,415,3,5,"15/16"" SPADE DRILL B90"
D12848,415,4,2,"39/64"" SPADE DRILL B90"
D12848,415,5,68,"4.0"" 90' FACEMILL B90"
D12848,415,6,35,"1.0"" 90 DEGREE SPOT DRILL B90"
D12848,415,7,15,"27/64"" HSS DRILL B0"
D12848,415,8,14,"15/32"" HSS DRILL"
D12848,415,9,40,"1/2"" STABBER DRILL"
D12848,415,10,59,"1/2"" P.F. REAMER"
D12848,415,11,7,1/2-13 TAP B0
D12848,415,12,6,"5/8"" S.F. REAMER B90"
D12864,340,1,19,"3.0"" FACEMILL"
D12864,340,2,102,"1.0"" NC SPOT DRILL"
D12864,340,3,10,"13/32"" HSS DRILL"
D12864,340,4,2,5/16 DRILL
D12864,340,5,56,3/8-16 TAP
D12864,415,1,19,"3.0"" FACEMILL"
D12864,415,2,35,"1.0"" NC SPOT DRILL"
D12864,415,3,13,"13/32"" HSS DRILL"
D12864,415,4,11,"5/16"" HSS DRILL"
D12864,415,5,12,3/8-16 TAP
D12874,340,1,1,"1.0"" NC SPOT DRILL OP2"
D12874,340,2,3,#7 HSS DRILL OP2
D12874,340,3,55,1/4-20 TAP OP2
D12874,340,4,22,"6.0"" FACEMILL B0"
D12874,340,5,37,"2.5"" SPADE DRILL B0"
D12874,340,6,25,"1.25"" LONG TURBO MILL B180"
D12874,340,7,102,"1.0"" NC SPOT DRILL B0"
D12874,340,8,2,5/16 DRILL B0
D12874,340,9,56,3/8-16 TAP B0
D12874,340,10,48,27/64 DRILL B0
D12874,340,11,58,1/2-13 TAP B0
D12874,340,12,4,"15/32"" HSS DRILL B0"
D12874,340,13,42,.490 STAB END MILL B0
D12874,340,14,50,"1/2"" P.F. REAMER B0"
D12874,340,15,79,"3.502"" BORING BAR B0"
D12874,340,16,77,"3.001""  BORING BAR B180"
D12880,350,1,39,"2.0"" CARB DRILL"
D12880,350,2,37,"1.0"" CARBIDE END MILL"
D12880,350,3,12,"13/32"" CARBIDE DRILL"
D12880,350,4,20,.344 CARBIDE DRILL FOR 3/8-16 RF
D12880,350,5,3,3/8-16 ROLL FORM TAP
D12880,350,6,9,45 DEG CHAMFER SET CC .470
D12896,415,1,18,"4.0"" FACE MILL OP2 B0"
D12896,415,2,2,"21/32"" .656 SPADE DRILL"
D12896,415,3,35,"1.0"" SPOT DRILL"
D12896,415,4,14,"15/32"" .4687 HSS DRILL"
D12896,415,5,40,"1/2"" STAB END MILL B0"
D12896,415,6,59,"1/2"" S.F. REAMER B0"
D12896,415,7,16,"59/64"" .922 SPADE DRILL B180"
D12896,415,8,24,"1.0""-12 TAP B180"
D12896,415,9,68,"4.0"" FACE MILL OP1 B0"
D12896,415,10,44,"17/32"" CARBIDE DRILL OP1 B0"
D12896,415,11,35,"1.0"" SPOT DRILL OP1 B0"
D12896,415,12,55,5/8-11 TAP OP1 B0
D12897,340,1,24,"4.0"" FACE MILL OP2 B0"
D12897,340,2,19,"3.0"" FACEMILL OP2 B0"
D12897,340,3,19,
D12897,340,4,106,"21/32"" SPADE DRILL OP2 B0"
D12897,340,5,48,.460 CARB. DRILL OP2 B0
D12897,340,6,2,"5/16"" DRILL OP2 B90"
D12897,340,7,5,.287 CARB. DRILL
D12897,340,8,102,"1.0"" NC SPOT DRILL OP2 B0"
D12897,340,9,58,"1/2-13"" TAP OP2 B0"
D12897,340,10,56,3/8-16 TAP OP2 B90
D12897,340,11,57,5/16-18 TAP
D12897,340,12,52,3/4-10 TAP OP2 B0
D12897,340,13,99,"3/8"" CARBIDE END MILL-ROUGHER OP2 B0"
D12897,340,14,44,"3/8"" CARBIDE FINISHER OP2 B0"
D12897,340,15,37,"2-1/8"" SPADE DRILL OP1 B0"
D12897,340,16,24,"4.0"" FACE MILL OP1 B0"
D12897,340,17,82,3.96 REVOLUTION DRILL
D12897,340,18,25,"1.25"" LONG TURBO MILL OP1 B0"
D12897,340,19,101,"1.0"" LONG CARBIDE END MILL OP1 B0"
D12897,340,20,87,"2-1/4-12"" THREAD MILL"
D12897,340,21,2,.346 CARB. DRILL OP1 B270
D12897,340,22,102,"1.0"" NC SPOT DRILL OP1 B0"
D12897,340,23,56,3/8-16 TAP OP1 B90
D12897,340,24,46,"17/32"" DRILL OP1 B0"
D12897,340,25,11,"1/2"" C'BORE OP1 B0"
D12897,340,26,77,"3.0015"" BORING BAR OP1 B0"
D12898,340,1,28,"1.0"" TURBO"
D12898,340,2,33,1 END MILL
D12898,340,3,3,NO 7 CARBIDE DRILL
D12898,340,4,48,27/64  CARBIDE DRILL
D12898,340,5,102,"1.0"" 120 DEG  SPOT DRILL"
D12898,340,6,55,1/4-20 TAP RH
D12898,340,7,58,1/2-13 TAPRH
D12898,340,8,24,"4.0"" FACE MILL OP1 B0"
D12898,340,9,19,"3"" FACE MILL - EXTENDED REACH"
D12898,340,10,36,"39/64"" SPADE DRILL OP1 B0"
D12898,340,11,27,11/16 .687 CARB DRILL
D12898,340,12,102,"1.0"" NC SPOT DRILL OP1 B0"
D12898,340,13,41,"5/8"" STABBER OP1 B0"
D12898,340,14,51,"5/8"" P.F. REAMER OP1 B0"
D12899,340,1,24,"4.0"" FACE MILL OP2 B0"
D12899,340,2,35,"13/16"" SPADE DRILL OP2"
D12899,340,3,36,"39/64"" SPADE DRILL OP2 B0"
D12899,340,4,102,"1.0"" NC SPOT DRILL OP2"
D12899,340,5,41,"5/8"" STABBER OP2 B0"
D12899,340,6,51,"5/8"" P.F. REAMER OP2 B0"
D12899,340,7,82,2.5 OTM DRILL OP3 B0
D12899,340,8,25,"1.25"" LONG TURBO MILL OP3 B180"
D12899,340,9,77,4.005' BORING BAR OP3 B180
D12899,340,10,1,#5  CENTERDRILL OP3 B0
D12899,340,11,3,#7 HSS DRILL OP3 B180
D12899,340,12,55,1/4-20 TAP OP3 B0
D12899,340,13,22,"6.0"" FACEMILL OP1 B90"
D12899,340,14,28,"1.0"" HOG MILL OP1 B0"
D12899,340,15,24,"4.0"" FACE MILL OP1 B0"
D12899,340,16,36,"39/64"" SPADE DRILL OP1 B0"
D12899,340,17,46,
D12899,340,18,102,"1.0"" NC SPOT DRILL OP1 B0"
D12899,340,19,41,"5/8"" STABBER OP1 B0"
D12899,340,20,51,"5/8"" P.F. REAMER OP1 B0"
D12899,340,21,53,5/8-11 TAP OP1 B0
D12903,340,1,25,"1.25"" LONG TURBO MILL OP2 B90"
D12903,340,2,95,"1/2"" LONG CARBIDE OP2 B270"
D12903,340,3,27,#5 CENTERDRILL OP2 B0
D12903,340,4,4,"27/64"" DRILL OP2 B0"
D12903,340,5,58,1/2-13 TAP OP2 B0
D12903,340,6,32,"1.187"" F.B. SPADE DRILL OP2 B0"
D12903,340,7,24,"4.0"" FACE MILL OP1 B0"
D12903,340,8,4,"25/32"" SPADE DRILL OP2 B0"
D12903,340,9,25,"1.25"" LONG TURBO MILL OP1 B90"
D12903,340,10,101,"1.0"" LONG CARBIDE END MILL OP1 B270"
D12929,340,1,3,.225 CARB. DRILL OP2
D12929,340,2,102,#5  CENTERDRILL OP2
D12929,340,3,55,1/4-20 TAP OP2
D12929,340,4,24,"4.0"" FACEMILL OP1 B0"
D12929,340,5,25,"1.25"" LONG TURBO MILL OP1 B0"
D12929,340,6,19,"1.25"" LONG TURBO MILL OP1 B180"
D12929,340,7,27,"11/16"" CARB. DRILL OP1 B90"
D12929,340,8,46,"17/32"" CARB. DRILL OP1 B0"
D12929,340,9,36,".618"" CARB. DRILL OP1 B0"
D12929,340,10,102,"1"" SPOTTER"
D12929,340,11,51,"5/8"" P.F REAMER OP1 B0"
D12929,340,12,53,5/8-11 TAP OP1 B0
D12929,340,13,79,"3.502"" BOR BAR OP1 B0"
D12929,340,14,77,"3.001"" BOR BAR OP1 B180"
D12930,340,1,82,2.47 OTM DRILL OP2
D12930,340,2,37,"2.0"" SPADE DRILL OP2 ""H"""
D12930,340,3,29,"1.25"" TURBO MILL OP2 ""B"""
D12930,340,4,93,"21/32"" CARB. DRILL OP2 ""A"""
D12930,340,5,28,1.0 FLAT BOTTOM
D12930,340,6,2,"5/16"" CARB. DRILL  OP2 ""C"" & ""E"""
D12930,340,7,64,".496 CARB. DRILL OP2 ""F"""
D12930,340,8,102,"1.0"" NC SPOT DRILL OP2 ""C"" & ""E"""
D12930,340,9,56,"3/8-16 TAP OP2 ""C"" & ""E"""
D12930,340,10,50,"1/2"" S.F. REAMER OP2 ""F"""
D12930,340,11,43,"1/2"" CARBIDE OP2"
D12930,340,12,8,"1.0""  CHAMFER MILL OP2 ""B"""
D12930,340,13,29,"1.25"" TURBO MILL OP3"
D12930,340,14,101,"1.0"" LONG CARBIDE END MILL OP3"
D12930,340,15,8,"1.03""  CHAMFER MILL OP3 ""B"""
D12930,340,16,102,"1.0"" NC SPOT DRILL OP3"
D12930,340,17,80,"3.7508"" BORING BAR OP2 ""B"""
D12930,340,18,20,"2.5015"" BORING BAR OP2 ""D"""
D12930,340,19,20,"2.4371"" BORING BAR OP3"
D12930,340,20,24,"4"" FACE MILL OP1"
D12930,340,21,48,"27/64"" DRILL OP1 B180"
D12930,340,22,102,"1.0"" NC SPOT DRILL OP1 B0"
D12930,340,23,58,1/2-13 TAP OP1 B180
D12930,340,24,67,"11/32"" DRILL OP1 B0"
D12930,340,25,91,.343 LONG CARB. DRILL 1/8-27 NPT
D12930,340,26,62,1/8-27  NPT OP1 B0
D12941-66,340,1,25,"1.25"" LONG TURBO MILL B0"
D12941-66,340,2,101,"1.0"" LONG CARBIDE END MILL B0"
D12941-66,340,3,24,"4.0"" FACEMILL ROUGH FACES B90"
D12941-66,340,4,2,".346"" CARB. DRILL B270"
D12941-66,340,5,9,".375"" CARB. DRILL B270"
D12941-66,340,6,27,"11/16"" CARB. DRILL B0"
D12941-66,340,7,102,"1.0"" NC SPOT DRILL B0"
D12941-66,340,8,56,"3/8-16"" TAP B90"
D12941-66,340,9,89,3/4-16 TAP THRU B0
D12942,415,1,90,RENISHAW PROBE
D12942,415,2,52,1.25 TURBO MILL
D12942,415,3,45,"3/4"" HELIX END MILL"
D12942,415,4,3,"45' CHAMFER TOOL SET CC TO .470"""
D12942,415,5,87,11.7 MM CARBIDE DRILL .460
D12942,415,6,70,"3/8"" .375 HELIX END MILL"
D12942,415,7,65,3/8 .375 CARBIDE DRILL
D12942,415,8,43,.593 CARBIDE FLAT BOTTOM DRILL
D12942,415,9,83,"13/32"" CARBIDE DRILL"
D12942,415,10,35,"1.0"" 90 DEGREE SPOT DRILL"
D12942,415,11,7,1/2-13 ROLL FORM TAP
D12942,415,12,33,3.002 DIA. BORING BAR
D12943,415,1,90,RENISHAW PROBE
D12943,415,2,52,1.25 TURBO MILL
D12943,415,3,45,"3/4"" HELIX END MILL"
D12943,415,4,3,"45' CHAMFER TOOL SET CC TO .470"""
D12943,415,5,87,11.7 MM CARBIDE DRILL .460
